job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
JAVA 前端转岗优先面试 +无责8K +2人间宿舍,北京·海淀区·五道口,8-13K,北京麦田房产,地产经纪/中介,10000人以上,不需要融资,经验不限,大专,五险一金，节日福利，带薪年假，定期体检，员工旅游
Java,北京·顺义区·仁和,4-9K,恒爱科技,移动互联网,0-20人,未融资,经验不限,学历不限,团建聚餐，全勤奖，五险一金
JAVA,北京·海淀区·西北旺,19-35K,华为技术有限公司,计算机软件,10000人以上,不需要融资,经验不限,本科,交通补助，员工旅游，带薪年假，加班补助，全勤奖，住房补贴，节日福利，餐补，五险一金，补充医疗保险，股票期权，零食下午茶，年终奖，通讯补贴，免费班车，定期体检，离职补偿
Java,北京·大兴区·亦庄,13-20K,诚通电子,互联网,0-20人,未融资,1-3年,本科,五险一金，做自己
java,北京·海淀区·西北旺,14-28K·14薪,华为技术有限公司,计算机软件,10000人以上,不需要融资,经验不限,本科,带薪年假，股票期权，五险一金，离职补偿，加班补助，节日福利，员工旅游，年终奖，零食下午茶，餐补，定期体检，通讯补贴，补充医疗保险，住房补贴，免费班车，全勤奖，交通补助
java,北京·海淀区·西北旺,17-30K·14薪,华为北京研究所,通信/网络设备,10000人以上,未融资,经验不限,学历不限,
Java,北京,15-24K,赢时胜,计算机软件,1000-9999人,已上市,3-5年,大专,员工旅游，餐补，节日福利，五险一金，政府人才房，带薪年假，加班补助，通讯补贴，交通补助，年终奖，股票期权
Java 开发工程师/高级开发工程师,北京,30-60K·14薪,某互联网公司,互联网,20-99人,不需要融资,3-5年,本科,五险一金，定期体检，带薪年假，通讯补贴，零食下午茶，年终奖，加班补助，全勤奖，节日福利，股票期权
Java,北京·大兴区·黄村,12-20K,嘉禾云网,计算机软件,20-99人,A轮,经验不限,本科,五险一金，定期体检
JAVA 研发工程师,北京·朝阳区·亮马桥,10-15K,小阔驴,移动互联网,0-20人,未融资,3-5年,本科,
java,北京·顺义区·马坡,15-25K,中电金信,计算机软件,10000人以上,B轮,1-3年,本科,补充医疗保险，带薪年假，节日福利，五险一金，定期体检
java,北京·海淀区·学院路,7-12K·13薪,南京木头人,其他服务业,0-20人,未融资,1-3年,本科,
Java 双休不加班 有机蔬菜 稳定 要求低,北京,20-40K·15薪,某大型知名保险公司,保险,10000人以上,不需要融资,3-5年,本科,定期体检，员工旅游，团建，年终奖，底薪加提成，绩效奖金，零食下午茶，全勤奖，带薪年假，父母津贴，过节费，五险一金
java,北京·东城区·灯市口,15-17K,法本,计算机软件,10000人以上,已上市,经验不限,大专,五险一金，年终奖，加班补助，零食下午茶，企业文化，全勤奖，员工旅游，节日福利，带薪年假，定期体检
Java,北京·朝阳区·望京,23-30K·16薪,阿里云,互联网,10000人以上,已上市,1年以内,硕士,年终奖，员工旅游，免费班车，股票期权，五险一金，定期体检，餐补，带薪年假，补充医疗保险
Java,北京·朝阳区·CBD,20-35K·13薪,上海正圆计算机,计算机服务,100-499人,不需要融资,3-5年,本科,年终奖，补充医疗保险，节日福利，餐补，五险一金，通讯补贴，交通补助，带薪年假
Java,北京·海淀区·西北旺,30-60K·16薪,快手,社交网络,10000人以上,已上市,3-5年,本科,五险一金，带薪年假，定期体检，补充医疗保险，股票期权，年终奖，节日福利
Java (大厂＋双休＋稳定）,北京·朝阳区·善各庄,16-20K,纬创软件,计算机软件,1000-9999人,已上市,3-5年,本科,员工旅游，年终奖，带薪年假，五险一金，定期体检，节日福利
java web开发工程师,北京·丰台区·大红门,6-8K,安邦模拟科技,计算机软件,0-20人,未融资,经验不限,本科,带薪年假，加班补助，年终奖，交通补助，五险一金
Java,北京·丰台区·总部基地,12-20K·13薪,航天新商务,电子商务,100-499人,未融资,1年以内,本科,餐补，定期体检，高温补贴，年终奖，交通补助，企业年金，绩效奖金，节日福利，补充医疗保险，五险一金，带薪年假
java,北京·石景山区·永乐,14-17K,沈阳丹彤科技有限公司,计算机软件,500-999人,未融资,3-5年,本科,
Java,北京·海淀区·四季青,8-10K,中科院信工所,信息安全,1000-9999人,不需要融资,1-3年,本科,住房补贴，餐补，免费班车，年终奖，节日福利，定期体检，五险一金，交通补助，员工旅游，补充医疗保险，生日福利，团建聚餐，绩效奖金，通讯补贴，带薪年假
Java 开发工程师（应届研究生）,北京·丰台区·看丹桥,12-24K·14薪,冶自欧博,仪器仪表/工业自动化,100-499人,不需要融资,经验不限,硕士,五险一金，员工旅游，定期体检，年终奖，单身宿舍
Java,北京·海淀区·西三旗,15-16K,上海艾融软件,计算机软件,1000-9999人,已上市,3-5年,本科,加班补助，五险一金，定期体检，餐补
Java,北京,20-40K·14薪,某大型互联网公司,批发/零售,500-999人,未融资,经验不限,本科,
Java,北京·朝阳区·国贸,7-11K,中科软,计算机软件,10000人以上,已上市,1-3年,本科,节日福利，餐补，加班补助，员工旅游，团队氛围好，带薪年假，五险一金，零食下午茶，年终奖，定期体检
java 开发工程师,北京·海淀区·上地,18-35K,联通数字科技有限公司,计算机软件,1000-9999人,未融资,3-5年,本科,
丰台 中建 java,北京·丰台区·科技园区,20-27K,瑞友科技,互联网,1000-9999人,不需要融资,3-5年,本科,五险一金，定期体检，带薪年假，节日福利
Java,北京·朝阳区·望京,20-30K·16薪,阿里集团,移动互联网,10000人以上,已上市,1年以内,硕士,零食下午茶，通讯补贴，加班补助，定期体检，补充医疗保险，餐补，交通补助，五险一金
JAVA,北京·海淀区·上地,20-30K,高途,在线教育,10000人以上,已上市,经验不限,本科,团建聚餐，补充医疗保险，带薪年假，年终奖，五险一金，定期体检，保底工资，免费班车，免费工装，节日福利，绩效奖金，生日福利
